candidate_id,skill_id,skill_name,skill_level,years_of_experience
CAND0001,SK002,Excel,Advanced,2.2
CAND0001,SK003,Power BI,Beginner,4.5
CAND0001,SK006,Data Cleaning,Advanced,5.0
CAND0001,SK007,Dashboarding,Intermediate,4.8
CAND0001,SK008,Recruitment Analytics,Intermediate,3.2
CAND0001,SK010,Automation,Beginner,1.8
CAND0001,SK017,Market Research,Advanced,4.6
CAND0002,SK002,Excel,Beginner,0.2
CAND0002,SK004,Python,Beginner,2.5
CAND0002,SK009,Talent Intelligence,Beginner,2.2
CAND0002,SK011,Power Automate,Advanced,4.4
CAND0002,SK012,APIs,Intermediate,3.2
CAND0002,SK017,Market Research,Advanced,1.5
CAND0002,SK019,ETL,Beginner,2.7
CAND0003,SK001,SQL,Advanced,3.8
CAND0003,SK002,Excel,Advanced,4.3
CAND0003,SK004,Python,Advanced,4.8
CAND0003,SK007,Dashboarding,Beginner,2.9
CAND0003,SK008,Recruitment Analytics,Beginner,2.6
CAND0003,SK010,Automation,Intermediate,4.7
CAND0003,SK011,Power Automate,Advanced,2.4
CAND0003,SK015,Communication,Intermediate,4.4
CAND0003,SK017,Market Research,Intermediate,0.7
CAND0003,SK019,ETL,Advanced,1.3
CAND0004,SK001,SQL,Intermediate,4.1
CAND0004,SK002,Excel,Advanced,4.9
CAND0004,SK004,Python,Beginner,3.8
CAND0004,SK005,Pandas,Intermediate,3.9
CAND0004,SK008,Recruitment Analytics,Beginner,1.2
CAND0004,SK015,Communication,Beginner,3.0
CAND0004,SK016,Problem Solving,Advanced,4.5
CAND0004,SK018,DAX,Advanced,2.6
CAND0005,SK001,SQL,Intermediate,0.7
CAND0005,SK004,Python,Advanced,0.2
CAND0005,SK008,Recruitment Analytics,Beginner,3.2
CAND0005,SK012,APIs,Beginner,4.7
CAND0005,SK014,LLMs,Intermediate,1.1
CAND0005,SK015,Communication,Advanced,4.4
CAND0005,SK016,Problem Solving,Beginner,1.1
CAND0005,SK017,Market Research,Beginner,2.1
CAND0005,SK018,DAX,Intermediate,1.5
CAND0006,SK002,Excel,Intermediate,2.4
CAND0006,SK003,Power BI,Beginner,0.2
CAND0006,SK006,Data Cleaning,Intermediate,0.5
CAND0006,SK008,Recruitment Analytics,Beginner,3.6
CAND0006,SK009,Talent Intelligence,Intermediate,3.5
CAND0007,SK002,Excel,Beginner,0.5
CAND0007,SK004,Python,Intermediate,3.6
CAND0007,SK006,Data Cleaning,Intermediate,0.7
CAND0007,SK007,Dashboarding,Advanced,4.6
CAND0007,SK009,Talent Intelligence,Beginner,3.8
CAND0007,SK017,Market Research,Advanced,4.8
CAND0007,SK019,ETL,Beginner,3.0
CAND0008,SK001,SQL,Beginner,1.1
CAND0008,SK003,Power BI,Beginner,1.5
CAND0008,SK004,Python,Advanced,3.3
CAND0008,SK005,Pandas,Beginner,1.0
CAND0008,SK009,Talent Intelligence,Beginner,0.7
CAND0008,SK013,Machine Learning,Advanced,0.4
CAND0008,SK014,LLMs,Beginner,1.7
CAND0008,SK016,Problem Solving,Advanced,2.3
CAND0008,SK020,Statistics,Advanced,2.0
CAND0009,SK001,SQL,Beginner,3.9
CAND0009,SK004,Python,Beginner,3.1
CAND0009,SK005,Pandas,Beginner,2.1
CAND0009,SK013,Machine Learning,Intermediate,3.7
CAND0009,SK016,Problem Solving,Beginner,2.9
CAND0010,SK001,SQL,Beginner,2.6
CAND0010,SK004,Python,Beginner,1.8
CAND0010,SK011,Power Automate,Advanced,4.8
CAND0010,SK014,LLMs,Beginner,4.0
CAND0010,SK018,DAX,Beginner,3.2
CAND0010,SK019,ETL,Beginner,1.1
CAND0011,SK001,SQL,Beginner,3.8
CAND0011,SK003,Power BI,Intermediate,4.4
CAND0011,SK004,Python,Advanced,2.1
CAND0011,SK006,Data Cleaning,Beginner,1.1
CAND0011,SK015,Communication,Beginner,4.1
CAND0011,SK019,ETL,Intermediate,1.7
CAND0012,SK004,Python,Beginner,2.4
CAND0012,SK006,Data Cleaning,Intermediate,1.4
CAND0012,SK009,Talent Intelligence,Beginner,4.9
CAND0012,SK014,LLMs,Beginner,4.2
CAND0012,SK016,Problem Solving,Intermediate,1.6
CAND0012,SK019,ETL,Beginner,1.1
CAND0013,SK001,SQL,Beginner,0.9
CAND0013,SK003,Power BI,Advanced,4.6
CAND0013,SK004,Python,Advanced,3.7
CAND0013,SK005,Pandas,Advanced,1.5
CAND0013,SK011,Power Automate,Advanced,4.2
CAND0013,SK013,Machine Learning,Intermediate,4.4
CAND0014,SK001,SQL,Intermediate,2.2
CAND0014,SK002,Excel,Advanced,2.4
CAND0014,SK006,Data Cleaning,Intermediate,3.7
CAND0014,SK007,Dashboarding,Beginner,4.9
CAND0014,SK011,Power Automate,Advanced,0.8
CAND0014,SK014,LLMs,Intermediate,4.2
CAND0014,SK015,Communication,Intermediate,3.0
CAND0014,SK020,Statistics,Intermediate,0.7
CAND0015,SK001,SQL,Beginner,1.0
CAND0015,SK004,Python,Intermediate,2.8
CAND0015,SK005,Pandas,Intermediate,5.0
CAND0015,SK018,DAX,Advanced,1.6
CAND0015,SK019,ETL,Advanced,4.1
CAND0016,SK001,SQL,Advanced,2.7
CAND0016,SK003,Power BI,Intermediate,2.4
CAND0016,SK004,Python,Beginner,2.7
CAND0016,SK009,Talent Intelligence,Beginner,2.3
