application_id,stage_name,stage_rank,stage_date,stage_status,days_in_previous_stage
APP00001,Applied,1,2026-05-17,Completed,
APP00001,Screened,2,2026-05-24,Completed,7
APP00001,Shortlisted,3,2026-06-01,Completed,8
APP00001,Interview 1,4,2026-06-09,Completed,8
APP00001,Interview 2,5,2026-06-16,Active,7
APP00002,Applied,1,2026-02-26,Completed,
APP00002,Screened,2,2026-03-02,Completed,4
APP00002,Shortlisted,3,2026-03-05,Completed,3
APP00002,Interview 1,4,2026-03-07,Completed,2
APP00002,Interview 2,5,2026-03-13,Completed,6
APP00002,Offer,6,2026-03-16,Rejected,3
APP00003,Applied,1,2026-04-22,Completed,
APP00003,Screened,2,2026-04-24,Rejected,2
APP00004,Applied,1,2026-05-15,Completed,
APP00004,Screened,2,2026-05-19,Completed,4
APP00004,Shortlisted,3,2026-05-21,Completed,2
APP00004,Interview 1,4,2026-05-29,Completed,8
APP00004,Interview 2,5,2026-06-05,Completed,7
APP00004,Offer,6,2026-06-13,Completed,8
APP00004,Hired,7,2026-06-21,Completed,8
APP00005,Applied,1,2026-04-12,Completed,
APP00005,Screened,2,2026-04-18,Completed,6
APP00005,Shortlisted,3,2026-04-26,Completed,8
APP00005,Interview 1,4,2026-05-03,Rejected,7
APP00006,Applied,1,2026-03-20,Completed,
APP00006,Screened,2,2026-03-22,Completed,2
APP00006,Shortlisted,3,2026-03-27,Completed,5
APP00006,Interview 1,4,2026-04-01,Completed,5
APP00006,Interview 2,5,2026-04-03,Rejected,2
APP00007,Applied,1,2026-05-20,Completed,
APP00007,Screened,2,2026-05-22,Completed,2
APP00007,Shortlisted,3,2026-05-30,Completed,8
APP00007,Interview 1,4,2026-06-01,Rejected,2
APP00008,Applied,1,2026-01-28,Completed,
APP00008,Screened,2,2026-01-31,Rejected,3
APP00009,Applied,1,2026-02-17,Completed,
APP00009,Screened,2,2026-02-23,Completed,6
APP00009,Shortlisted,3,2026-03-02,Completed,7
APP00009,Interview 1,4,2026-03-11,Rejected,9
APP00010,Applied,1,2026-06-10,Completed,
APP00010,Screened,2,2026-06-15,Completed,5
APP00010,Shortlisted,3,2026-06-19,Completed,4
APP00010,Interview 1,4,2026-06-26,Completed,7
APP00010,Interview 2,5,2026-07-04,Completed,8
APP00010,Offer,6,2026-07-09,Rejected,5
APP00011,Applied,1,2026-04-21,Completed,
APP00011,Screened,2,2026-04-28,Completed,7
APP00011,Shortlisted,3,2026-05-01,Completed,3
APP00011,Interview 1,4,2026-05-04,Completed,3
APP00011,Interview 2,5,2026-05-13,Completed,9
APP00011,Offer,6,2026-05-19,Completed,6
APP00011,Hired,7,2026-05-24,Completed,5
APP00012,Applied,1,2026-02-04,Completed,
APP00012,Screened,2,2026-02-13,Completed,9
APP00012,Shortlisted,3,2026-02-17,Rejected,4
APP00013,Applied,1,2026-04-15,Completed,
APP00013,Screened,2,2026-04-20,Completed,5
APP00013,Shortlisted,3,2026-04-25,Completed,5
APP00013,Interview 1,4,2026-04-28,Completed,3
APP00013,Interview 2,5,2026-05-06,Completed,8
APP00013,Offer,6,2026-05-08,Active,2
APP00014,Applied,1,2026-01-11,Rejected,
APP00015,Applied,1,2026-02-12,Completed,
APP00015,Screened,2,2026-02-21,Completed,9
APP00015,Shortlisted,3,2026-03-02,Completed,9
APP00015,Interview 1,4,2026-03-05,Completed,3
APP00015,Interview 2,5,2026-03-13,Completed,8
APP00015,Offer,6,2026-03-22,Completed,9
APP00015,Hired,7,2026-03-25,Completed,3
APP00016,Applied,1,2026-01-30,Completed,
APP00016,Screened,2,2026-02-03,Completed,4
APP00016,Shortlisted,3,2026-02-11,Completed,8
APP00016,Interview 1,4,2026-02-19,Completed,8
APP00016,Interview 2,5,2026-02-23,Completed,4
APP00016,Offer,6,2026-02-26,Completed,3
APP00016,Hired,7,2026-03-02,Completed,4
APP00017,Applied,1,2026-05-08,Completed,
APP00017,Screened,2,2026-05-17,Rejected,9
APP00018,Applied,1,2026-03-04,Completed,
APP00018,Screened,2,2026-03-08,Completed,4
APP00018,Shortlisted,3,2026-03-10,Completed,2
APP00018,Interview 1,4,2026-03-17,Completed,7
